ip,timestamp,method,endpoint,status,bytes
lmsmith.tezcat.com,1995-07-01 04:02:21,GET,/images/KSC-logosmall.gif,200,1204
ppp-nyc-3-1.ios.com,1995-07-01 04:02:25,GET,/shuttle/missions/sts-71/images/KSC-95EC-0918.txt,200,1391
link097.txdirect.net,1995-07-01 04:02:25,GET,/shuttle/missions/sts-65/sts-65-patch-small.gif,200,11757
gayle-gaston.tenet.edu,1995-07-01 04:02:25,GET,/shuttle/countdown/,200,3985
pme607.onramp.awinc.com,1995-07-01 04:02:25,GET,/shuttle/missions/sts-71/sts-71-day-04-highlights.html,200,5544
dynip42.efn.org,1995-07-01 04:02:26,GET,/software/winvn/,200,2244
onyx.southwind.net,1995-07-01 04:02:27,GET,"/cgi-bin/imagemap/countdown?103,146",302,96
dynip42.efn.org,1995-07-01 04:02:28,GET,/icons/image.xbm,200,509
dynip42.efn.org,1995-07-01 04:02:28,GET,/icons/text.xbm,200,527
smyth-pc.moorecap.com,1995-07-01 04:02:30,GET,/history/apollo/images/footprint-small.gif,200,18149
usr7-dialup46.chicago.mci.net,1995-07-01 04:02:35,GET,/shuttle/missions/,200,12283
smyth-pc.moorecap.com,1995-07-01 04:02:38,GET,/history/apollo/images/apollo-small.gif,200,9630
dynip42.efn.org,1995-07-01 04:02:39,GET,/software/winvn/winvn.html,200,9867
gater3.sematech.org,1995-07-01 04:02:41,GET,"/cgi-bin/imagemap/countdown?99,173",302,110
dynip42.efn.org,1995-07-01 04:02:41,GET,/software/winvn/winvn.gif,200,25218
dynip42.efn.org,1995-07-01 04:02:41,GET,/images/construct.gif,200,1414
dynip42.efn.org,1995-07-01 04:02:42,GET,/software/winvn/bluemarb.gif,200,4441
ix-or10-06.ix.netcom.com,1995-07-01 04:02:42,GET,/software/winvn/,200,2244
gater4.sematech.org,1995-07-01 04:02:43,GET,/shuttle/missions/sts-71/images/images.html,200,7634
ix-or10-06.ix.netcom.com,1995-07-01 04:02:45,GET,/icons/blank.xbm,200,509
ix-or10-06.ix.netcom.com,1995-07-01 04:02:47,GET,/icons/menu.xbm,200,527
ix-or10-06.ix.netcom.com,1995-07-01 04:02:49,GET,/icons/image.xbm,200,509
ix-or10-06.ix.netcom.com,1995-07-01 04:02:52,GET,/icons/text.xbm,200,527
remote27.compusmart.ab.ca,1995-07-01 04:02:55,GET,/shuttle/missions/sts-71/images/KSC-95EC-0868.txt,200,657
waters-gw.starway.net.au,1995-07-01 04:02:57,GET,/shuttle/missions/51-l/images/,200,1038
brandt.xensei.com,1995-07-01 04:02:57,GET,/shuttle/missions/sts-71/mission-sts-71.html,200,12040
sneaker.oregoncoast.com,1995-07-01 04:02:57,GET,/shuttle/countdown/,304,0
teleman.pr.mcs.net,1995-07-01 04:02:58,GET,/msfc/astro_home.html,304,0
slip1.yab.com,1995-07-01 04:03:00,GET,/shuttle/missions/sts-49/mission-sts-49.html,200,9379
onyx.southwind.net,1995-07-01 04:03:00,GET,"/cgi-bin/imagemap/countdown?102,210",302,95
dd11-054.compuserve.com,1995-07-01 04:03:01,GET,/,200,7074
onyx.southwind.net,1995-07-01 04:03:02,GET,/shuttle/countdown/tour.html,200,4347
sneaker.oregoncoast.com,1995-07-01 04:03:02,GET,/shuttle/countdown/count.gif,304,0
sneaker.oregoncoast.com,1995-07-01 04:03:02,GET,/images/NASA-logosmall.gif,304,0
sneaker.oregoncoast.com,1995-07-01 04:03:03,GET,/images/KSC-logosmall.gif,304,0
onyx.southwind.net,1995-07-01 04:03:03,GET,/images/KSC-94EC-412-small.gif,200,20484
gater3.sematech.org,1995-07-01 04:03:04,GET,/shuttle/missions/sts-71/images/KSC-95EC-0868.gif,200,47122
ppp-nyc-3-1.ios.com,1995-07-01 04:03:05,GET,/shuttle/countdown/count.gif,200,40310
brandt.xensei.com,1995-07-01 04:03:05,GET,/shuttle/missions/sts-71/sts-71-patch-small.gif,200,12054
brandt.xensei.com,1995-07-01 04:03:08,GET,/images/KSC-logosmall.gif,200,1204
piweba3y.prodigy.com,1995-07-01 04:03:09,GET,/shuttle/missions/sts-71/movies/sts-71-tcdt-crew-walkout.mpg,200,647168
unicomp6.unicomp.net,1995-07-01 04:03:09,GET,/images/lcc-small2.gif,200,58026
gayle-gaston.tenet.edu,1995-07-01 04:03:11,GET,/shuttle/missions/sts-71/images/images.html,200,7634
129.188.154.200,1995-07-01 04:03:12,GET,/facts/about_ksc.html,200,3977
ppp-nyc-3-1.ios.com,1995-07-01 04:03:13,GET,/shuttle/missions/sts-71/movies/movies.html,200,3092
